,Gene,Ependymoma,Glioblastoma,Medulloblastoma,Pilocytic Astrocytoma
0,1007_s_at,8.5498619757218,6.109568329861231,0.0,9.059795871545967
1,1053_at,3.0101685839767365,6.284144365148498,5.4220613106599,0.0
2,117_at,2.9463389344326587,3.759056834269123,0.0,0.0
3,121_at,0.0,0.0,0.0,0.0
4,1255_g_at,-5.365297559815724,-3.5768466406785833,-4.627142210246797,0.0
5,1294_at,5.547674780573098,4.254926677232601,0.0,6.806438154856228
6,1316_at,-3.863968699121476,-4.260500882163589,-2.587390239309269,-3.0004656363850097
7,1320_at,5.695197809486452,2.6225736027904953,3.436781776755082,3.1079215956655086
8,1405_i_at,2.0812197666432524,3.293074097131815,0.0,2.885509287373766
9,1431_at,-4.3345257889367454,-5.093073963922005,-4.638950489130877,-5.678922065688819
10,1438_at,0.0,2.1680012159822435,0.0,0.0
11,1487_at,-7.803140415745286,-3.036703333464302,-4.488812035169792,-3.054554426504182
12,1494_f_at,0.0,0.0,0.0,0.0
13,1552256_a_at,-2.351175733229861,2.3252491961133352,-3.6628418872360298,2.197265991962146
14,1552257_a_at,-4.155103516283121,0.0,2.4051296970964833,-4.217010240847009
15,1552258_at,0.0,4.537785434148405,0.0,3.343857981482615
16,1552261_at,0.0,0.0,0.0,0.0
17,1552263_at,0.0,3.9548538432130194,0.0,3.245881923406379
18,1552264_a_at,0.0,0.0,0.0,0.0
19,1552266_at,4.998108437550869,5.666739217666706,2.620888715525248,4.434788809069482
20,1552269_at,17.418548539534413,5.701813105575877,4.140889154534779,2.5539537741688045
21,1552271_at,0.0,2.5034318177802173,3.454681624466546,0.0
22,1552272_a_at,0.0,4.031931346735925,4.197537280742618,2.746260546646957
23,1552274_at,-3.0536216044953424,0.0,-3.0751264964044287,0.0
24,1552275_s_at,-4.152988427756695,0.0,-2.2531395006823067,0.0
25,1552276_a_at,0.0,0.0,0.0,0.0
26,1552277_a_at,3.066214919842832,8.324906491661515,7.069083323620447,4.138494979709779
27,1552278_a_at,0.0,0.0,0.0,0.0
28,1552279_a_at,3.5439727102209955,0.0,3.300102413405002,3.765009419343918
29,1552280_at,0.0,0.0,0.0,0.0
30,1552281_at,0.0,2.0578255024129444,0.0,2.227135813334542
31,1552283_s_at,0.0,-5.667976505569559,-7.080527264752572,-5.837933922320438
32,1552286_at,0.0,3.674990520630987,0.0,0.0
33,1552287_s_at,0.0,0.0,3.9006553681759097,0.0
34,1552288_at,0.0,0.0,0.0,0.0
35,1552289_a_at,0.0,0.0,2.19409185521219,0.0
36,1552291_at,0.0,0.0,0.0,0.0
37,1552293_at,-4.3513097883646585,0.0,-2.4902810110017946,0.0
38,1552295_a_at,2.2705977637336514,0.0,2.3272164260989587,2.398093314517576
39,1552296_at,8.000225629684905,0.0,0.0,-2.304328720756427
40,1552299_at,4.0802011770762165,0.0,4.686020413644255,0.0
41,1552301_a_at,-6.99074111104857,-8.87598470938896,-11.060734624400451,-10.880404091483491
42,1552302_at,5.1189827039999605,3.3516598130183497,0.0,6.106679402946155
43,1552303_a_at,0.0,0.0,0.0,3.358781674662729
44,1552304_at,5.168012866730664,5.8416659900331345,7.589672084436597,0.0
45,1552306_at,8.873768046381452,9.372387028038132,7.695857982538366,5.057945352061712
46,1552307_a_at,0.0,6.253536618726008,0.0,5.145781568738073
47,1552309_a_at,0.0,0.0,0.0,4.308040968382875
48,1552310_at,0.0,0.0,0.0,0.0
49,1552311_a_at,-2.212366298678094,-2.451024862597224,0.0,0.0
50,1552312_a_at,4.787315513766097,0.0,5.184319613210264,0.0
51,1552314_a_at,0.0,3.227247338407203,0.0,0.0
52,1552315_at,0.0,0.0,0.0,3.870161706594748
53,1552316_a_at,0.0,0.0,-2.2538750998115105,2.820225859282007
54,1552318_at,2.440829305340974,3.1153773444133743,0.0,5.851211052920732
55,1552319_a_at,0.0,0.0,0.0,0.0
56,1552320_a_at,10.711297829322934,0.0,-2.3224665912335474,0.0
57,1552321_a_at,11.31808300778975,0.0,0.0,-2.66766666048459
58,1552322_at,3.6290342815729857,5.109334409164654,3.2150236699283847,0.0
59,1552323_s_at,4.57629558093605,5.216579171396353,3.1580612875226493,2.676939256295287
60,1552325_at,5.6921819971414,0.0,0.0,0.0
61,1552326_a_at,8.271685559098499,0.0,-2.8837148293048185,-2.8158541118585956
62,1552327_at,0.0,0.0,0.0,0.0
63,1552329_at,0.0,0.0,0.0,0.0
64,1552330_at,0.0,0.0,2.148613601284821,3.5229240035414415
65,1552332_at,0.0,0.0,0.0,0.0
66,1552334_at,8.304002513094424,5.43566350989371,6.339851925983504,5.10011559071848
67,1552335_at,0.0,3.2636092847945055,2.271897805723485,0.0
68,1552337_s_at,2.453330070992452,2.1202298630905507,0.0,0.0
69,1552338_at,0.0,0.0,0.0,0.0
70,1552340_at,-2.5840027220142554,0.0,0.0,0.0
71,1552343_s_at,-4.156766521357281,-2.2294317566173154,0.0,-3.0947050078761587
72,1552344_s_at,0.0,0.0,3.5516950657405992,0.0
73,1552347_at,2.5050367393371635,0.0,2.88878291931142,0.0
74,1552348_at,0.0,0.0,0.0,0.0
75,1552349_a_at,0.0,0.0,0.0,0.0
76,1552354_at,0.0,0.0,0.0,0.0
77,1552355_s_at,-2.0643063356406923,0.0,-2.582178657445288,0.0
78,1552359_at,0.0,0.0,-3.82554272434526,0.0
79,1552360_a_at,5.146958500557909,6.261816365324072,4.967726711683153,5.066704415699261
80,1552362_a_at,0.0,0.0,0.0,0.0
81,1552364_s_at,4.445589231425547,4.2705563077502315,2.4402370163632954,0.0
82,1552365_at,7.27631286534257,6.29784892318688,0.0,10.0040799801202
83,1552367_a_at,9.823715871841433,7.114350145361712,0.0,13.338066598001754
84,1552368_at,0.0,0.0,0.0,0.0
85,1552370_at,5.803528657181496,2.264020814818779,2.402461288561668,0.0
86,1552372_at,0.0,0.0,0.0,0.0
87,1552373_s_at,0.0,0.0,0.0,0.0
88,1552375_at,0.0,3.631642003484035,5.305912898848952,0.0
89,1552377_s_at,0.0,0.0,0.0,0.0
90,1552378_s_at,6.035488163670253,5.4380264809548,2.916075176950062,6.057687005057023
91,1552379_at,0.0,0.0,0.0,0.0
92,1552381_at,0.0,0.0,2.8224303624315894,-3.0444701598973247
93,1552383_at,-2.164541328456007,-2.32343125319328,-2.662481543058135,0.0
94,1552384_a_at,0.0,0.0,0.0,-2.097722915479192
95,1552386_at,4.720274220823841,4.41637548380965,0.0,7.185874466147765
96,1552388_at,-2.5129243297944517,-3.1185009684829517,-2.1352222790469275,-2.957215083832688
97,1552389_at,-3.023232813599754,-3.31527283588793,-2.1963875301422515,-4.293208064693318
98,1552390_a_at,-3.577931983622379,-4.327182388158076,-2.1196465133345175,-4.568288822123414
99,1552391_at,0.0,-2.544464840677855,0.0,0.0
100,1552393_at,0.0,0.0,0.0,0.0
101,1552394_a_at,3.3711962853002166,0.0,0.0,2.4391824118803593
102,1552395_at,0.0,0.0,0.0,0.0
103,1552396_at,0.0,0.0,0.0,0.0
104,1552398_a_at,0.0,2.1790340388566136,0.0,0.0
105,1552399_a_at,2.3880429151950366,0.0,2.3565273255361876,0.0
106,1552400_a_at,-4.931403238769887,-8.313112570017449,-6.3813271484686105,-8.703075466161097
107,1552401_a_at,0.0,3.369894992379435,4.776547821160492,2.299753224443699
108,1552402_at,-2.3215449457594586,-2.241182397328689,0.0,-2.34584627215409
109,1552405_at,0.0,0.0,0.0,0.0
110,1552408_at,0.0,0.0,0.0,0.0
111,1552409_a_at,0.0,2.260958383650348,2.40335674234817,0.0
112,1552410_at,3.5232881829267404,4.618129951576193,4.958901681891377,3.068977706935021
113,1552411_at,2.5997615997028287,2.5365548140172174,0.0,2.229812192395637
114,1552412_a_at,0.0,0.0,0.0,0.0
115,1552414_at,0.0,0.0,0.0,0.0
116,1552415_a_at,2.8957369232293684,3.181411548286628,0.0,0.0
117,1552417_a_at,15.036424001591277,9.873391697560178,11.005529055016732,6.841621622421976
118,1552418_at,0.0,0.0,0.0,0.0
119,1552419_s_at,0.0,0.0,0.0,0.0
120,1552421_a_at,0.0,0.0,0.0,0.0
121,1552422_at,7.25326876607385,6.351518812716144,7.094869723223905,5.47145411660496
122,1552423_at,0.0,0.0,0.0,0.0
123,1552424_at,-3.98380637938989,-4.053147527174952,-3.016603724999656,-3.2883998193850412
124,1552425_a_at,-3.4074099599555705,-2.207509480176708,-2.596121849773385,0.0
125,1552426_a_at,0.0,0.0,0.0,0.0
126,1552427_at,-3.081847054427407,0.0,0.0,0.0
127,1552430_at,0.0,0.0,-2.285571241531402,0.0
128,1552432_at,0.0,0.0,0.0,0.0
129,1552436_a_at,0.0,-2.4842274582855337,0.0,-2.8833308973691816
130,1552438_a_at,0.0,0.0,0.0,0.0
131,1552439_s_at,0.0,0.0,0.0,6.8324093413291
132,1552440_at,0.0,0.0,0.0,0.0
